id;city;zip_code;street;flat_number
1;Port Metahaven;75272-4057;Balistreri Lane;Intelligent Outdoors
2;Jarrellburgh;56912-6457;Weissnat Fall;Money Market Account
3;Carolinehaven;68261-8482;Trantow Estates;Ghana back-end National
4;Port Bernice;26408;Ellsworth Inlet;Hat
5;Hayleyport;61232;Hand Village;Mauritania
6;Guidoborough;92922;Rath Ridge;Plastic
7;Bashirianburgh;95400-2396;Burdette Fords;Berkshire Designer
8;New Margarettton;32278-3469;Lesch Point;Licensed hacking installation
9;New Alizehaven;36207-5823;Daniel Port;Yen synthesize Creative
10;New Evanchester;29586;Okuneva Forks;parsing
